league,team,h_for,h_against,a_for,a_against,n_home,n_away
e1,derby,5.608695652173913,4.478260869565218,3.391304347826087,5.782608695652174,23,23
e1,hull,5.260869565217392,4.391304347826087,4.130434782608695,6.608695652173913,23,23
e1,ipswich,6.0,3.9,5.235294117647059,3.823529411764706,20,17
e1,leeds,7.333333333333333,2.3333333333333335,5.25,1.75,3,4
e1,leicester,6.0,5.105263157894737,3.6,6.15,19,20
e1,luton,7.5,3.25,4.666666666666667,6.333333333333333,4,3
e1,middlesbrough,6.954545454545454,4.409090909090909,5.6521739130434785,3.9130434782608696,22,23
e1,millwall,5.826086956521739,4.739130434782608,4.869565217391305,5.521739130434782,23,23
e1,norwich,5.409090909090909,4.590909090909091,4.458333333333333,5.958333333333333,22,24
e1,oxford,4.181818181818182,6.2272727272727275,3.3636363636363638,8.045454545454545,22,22
e1,oxford utd,1.0,4.0,2.0,3.0,1,1
e1,plymouth,2.25,6.25,1.3333333333333333,8.0,4,3
e1,portsmouth,6.333333333333333,3.8095238095238093,5.041666666666667,5.541666666666667,21,24
e1,preston,4.666666666666667,6.041666666666667,3.6818181818181817,6.5,24,22
e1,qpr,5.125,3.5833333333333335,3.909090909090909,7.2272727272727275,24,22
e1,sheffield united,7.666666666666667,4.095238095238095,6.304347826086956,5.521739130434782,21,23
e1,sheffield utd,2.0,2.5,4.385036496350365,5.583941605839416,2,0
e1,sheffield wed,5.583941605839416,4.385036496350365,1.5,3.5,0,2
